text,options,type,answer,score,explanation,註解
依據109年修訂之護理人員法，護理人員因停業、歇業、復業或變更執業處所時，應於自事實發生之日起於規 定時間內，報請原發執業執照機關備查，若違反其規定者得處新臺幣多少罰鍰？,"A.1,000元以上～10,000元以下 B.2,000元以上～20,000元以下 C.3,000元以上～30,000元以下 D.4,000元以上～40,000元以下",單選,"C. 3,000元以上～30,000元以下",2,【解答】C 【出處】護理學導論 【解析】依據護理人員法第11條第一項規定「醫 事相關人員在停業或歌業時，應自事實發生日起 三十日內，須報請原發執業執照機關辦理備查。」 第39 條「若違反第十一條第一項規定者，處新 臺幣三千元以上三萬元以下罰鍰。」,113基本護理學
3天前接受清創術病人即將出院，但向醫師要求能夠繼續住院接受專業照顧，有關護理人員的回應，下列何者 最適當？,A.主動向病人提供回診相關諮詢 B.和病人共同擬定護理計畫 C.與病人溝通並了解其感受與想法 D.清楚說明出院的流程讓病人安心,單選,C. 與病人溝通並了解其感受與想法,2,【解答】C 【出處】觀察與溝通 【解析】病人出院時的心理反應可能會有焦慮、 擔心等，可以鼓勵病人將自己的感覺表達出來， 醫護人員也更能了解病人需求。,113基本護理學
護理師發現病人的主訴與病歷紀載的家庭樹資料不相符，向主要照顧者進行再次確認，此為護理過程的那個 步驟？,A.護理評值 B.護理診斷 C.護理評估 D.護理計畫,單選,C. 護理評估,2,【解答】C 【出處】護理過程 關方 【解析】(C)護理評估指護理師收集護理對象與健 康有關的資料。,113基本護理學
手術後第2天，病人於8：30 AM下床活動後主訴傷口痛且臉色蒼白、盜冷汗，醫師評估後於9 AM給予止痛藥。 下列何者為最適當的評值？,A.8：45 AM採半坐臥後，蒼白改善 B.9 AM依醫囑給與止痛藥 C.10 AM病人主訴疼痛指數3分 D.10 PM家屬表示病人睡不著,單選,C. 10 AM病人主訴疼痛指數3分,2,【解答】C 【出處】護理過程 【解析】主訴傷口痛，因此給予止痛藥，要評值 的是傷口疼痛改善的程度，故(A)、(D)不選。,113基本護理學
下列護理人員的答話，何者能增進護病關係？,A.「你看起來一點進步也沒有，你有沒有認真做復健？」 B.「有什麼事讓妳心情不好，要試著說說看嗎？」 C.「不要一天到晚想要死，你一家大小可都是你的責任，要靠你養！」 D.「不要怕痛、怕麻煩，妳就按照我教妳的這樣做就對了！」,單選,B. 「有什麼事讓妳心情不好，要試著說說看嗎？」,2,【解答】B 【出處】觀察與溝通 【解析】(A)(C)帶有批判態度； (D)給予忠告，忽略個案表達他的感覺。,113基本護理學
護理目標如下：「病人能解釋血糖控制與預防糖尿病合併症之關係」，此屬於何種類型的目標？,A.情意目標 B.技能目標 C.認知目標 D.互動目標,單選,C. 認知目標,2,【解答】C 【出處】護理過程 S呎方 【解析】(C)認知目標指個案能獲得知識，且能理 解、應用、分析等。常用辭巢為：說出、舉出、 列出、敘述，題目中病人能「解釋」即代表能說 出，故選(C)。,113基本護理學
吳小弟，體重9公斤，醫囑開立「Amoxicillin® I.V. drip Q6H」，此藥物單次成人劑量為500 mg。依克拉 克氏法則（Clark’s rule），吳小弟單次用藥劑量為多少mg？,A.46 B.56 C.66 D.76,單選,C. 66,2,【解答】C 【出處】給藥法 【解析】克拉克氏法則： 兒童劑量= 成人劑量x（兒童磅重/150）,113基本護理學
下列藥物劑型，何者的吸收速度最慢？,A.懸浮劑 B.發泡錠 C.軟膠囊 D.粉劑,單選,C. 軟膠囊,2,【解答】C 【出處】給藥法 【解析】藥物吸收速率外快到慢： 溶液懸>浮劑>粉劑>軟膠囊，而發泡錠需泡水溶解 呈液態形式，吸收速度通常比固體藥品來得快。,113基本護理學
病人血壓180/120 mmHg，醫囑「nifedipine（Adalat®）10 mg /cap 1# S.L. STAT」， 下列給藥方式何者正 確？,A.請病人咬碎後吞服 B.請病人舌下含服 C.請病人直接吞服 D.將藥物塞入直腸,單選,B. 請病人舌下含服,2,【解答】B 【出處】給藥法 【解析】醫囑「S.L.」為「舌下含服」，舌下含服 需教導病人勿喝水、勿咀嚼、勿吞服。,113基本護理學
病人罹患急性結膜炎，醫囑開立Emadine® oph. solution. 1gtt. O.U. QID及Devirus® oph. oint. O.U. QID，給眼藥過程下列措施何者錯誤？,A.點藥時，請病人眼睛往上看 B.將藥物滴在下結膜囊內 C.先給Devirus® oph oint. 再給Emadine® oph. solution D.給藥後，請病人閉上眼睛並轉動眼球,單選,C. 先給Devirus® oph oint. 再給Emadine® oph. solution,2,【解答】C 【出處】給藥法 【解析】(C)若病人需同時使用油劑和水劑，應先 點水劑（solution）後再點油劑或藥膏(oint）。,113基本護理學
熱敷時間超過45分鐘，會引起血管收縮屬於下列何種狀況？,A.適應現象（adaptation phenomenon） B.反彈現象（rebound phenomenon） C.交感反應（consensual response） D.保護性反應（protective response）,單選,B. 反彈現象（rebound phenomenon）,2,【解答】B 【出處】冷熱應用及護理 【解析】治療性用熱使用20~30分鐘內達到最大 的血管擴張作用，但超過30~45分鐘以上，則會 使組織充血且血管收縮，即為反彈現象。,113基本護理學
關於冷熱療法效果與目的，下列敘述何者錯誤？,A.使用熱敷處理疼痛，主要作用是促進血液循環，減少充血腫脹 B.冷敷用於靜脈炎的作用是減緩血流，降低白血球活性阻止炎症進展 C.所有冷熱敷的設備均要直接與皮膚接觸，才能達到最大治療效果 D.進行濕熱敷時為預防燙傷，可於皮膚塗上凡士林以達到保護目的,單選,C. 所有冷熱敷的設備均要直接與皮膚接觸，才能達到最大治療效果,2,【解答】C 【出處】冷熱應用及護理 【解析】(C)冷熱敷設備勿直接與皮膚接觸。,113基本護理學
病人因高燒使用低溫毯，護理師在使用低溫毯期間，下列照護事項何者正確？ ①為達到降溫效益，低溫毯 應直接與病人皮膚接觸  ②剛使用時應每5分鐘測量病人的生命徵象，待穩定後則可以每15分鐘監測一次 ③使用過程中若病人出現發抖現象，為正常現象，可持續使用，但需每15分鐘監測體溫一次  ④應每30～60 分鐘協助病人翻身，以免造成壓力性損傷,A.①② B.③④ C.①③ D.②④,單選,D. ②④,2,【解答】D 【出處】營養的需要 【解析】①低溫毯使用時應避免與皮膚直接接觸。 ③若出現發抖現象，則應立即停止。,113基本護理學
在冷敷過程中，患處出現下列何種症狀，可持續使用？,A.患處有涼的感覺 B.麻木感 C.藍斑 D.疼痛,單選,A. 患處有涼的感覺,2,【解答】A 【出處】冷熱應用及護理 【解析】冷敷過程中，若出現合併症皮膚蒼白、 藍色斑點、麻木感、疼痛，應立刻移除及停止冷 熱療法並報告,113基本護理學
在輸血過程中，病人出現皮膚癢、紅疹、鼻塞及呼吸困難等症狀，可能是發生下列何種輸血反應？,A.熱原反應 B.過敏反應 C.溶血反應 D.肺栓塞反應,單選,B. 過敏反應,2,【解答】B 【出處】體液供給 【解析】出現皮膚癢、臉色潮紅、蕁麻疹、喉頭 水腫、呼吸困難等過敏症狀為(B)過敏反應。,113基本護理學
脊髓損傷的病人，無法自行排空膀胱，下列護理措施何者最適當？,"A.限制液體攝入量1,000 mL/天 B.教導凱格爾氏（Kegel’s exercise） C.教導以手向下壓迫膀胱部位 D.協助置入留置導尿管",單選,C. 教導以手向下壓迫膀胱部位,2,【解答】C 【出處】排泄的需要 【解析】協助病人正常排尿，應攝入適量液體， 故(A)限制限制液體攝入量為錯誤。 誘尿方法其中之一為局部按摩，如(C)以手向下壓 迫膀胱部位，可增加腹內壓，促使膀胱尿液排空。,113基本護理學
有關結腸灌洗（colon irrigation）目的之相關敘述，下列何者錯誤？,A.提供術前準備 B.減輕嚴重痔瘡疼痛 C.清除腸道內之糞便 D.降低體內氨之濃度,單選,B. 減輕嚴重痔瘡疼痛,2,【解答】B 【出處】排泄的需要 【解析】結腸灌洗可清潔腸道內的細菌和糞便(C) 稀釋毒素(D)、排除氣體、術前腸道準備(A)。,113基本護理學
有關導尿管的選擇原則，下列何者錯誤？,A.塑膠材質的導尿管使用期限可長達1個月 B.泌尿道手術的病人可使用18 Fr.以上的導尿管 C.當病人需要進行膀胱灌洗時應選擇三路導尿管 D.小孩大多選擇使用8～10 Fr.導尿管,單選,A. 塑膠材質的導尿管使用期限可長達1個月,2,【解答】A 【出處】排泄的需要 【解析】 (A)矽膠材質的導尿管使用期限可長達1個月,113基本護理學
病人配戴橡膠製成的活動假牙，有關假牙的清潔與使用，下列敘述何者正確？,A.假牙不用時需泡在蘇打水中保存 B.使用50℃熱水清潔假牙，加強消毒效果 C.假牙置於口腔前，應先以水濕潤之 D.假牙需整日持續配戴，維持臉頰外觀,單選,C. 假牙置於口腔前，應先以水濕潤之,2,【解答】C 【出處】舒適護理 【解析】(C)戴假牙前，應先以水濕潤，減少摩擦、 以利配戴。,113基本護理學
約束病人的注意事項，下列何者錯誤？,A.手腕先以棉墊保護再綁上約束帶 B.屬護理的獨立性功能 C.約束帶以平結固定在床架上 D.每15～30分鐘觀察病人末梢循環,單選,B. 屬護理的獨立性功能,2,【解答】B 【出處】活動與運動 防无 【解析】 (B)約束需有醫囑，屬護理的非獨立性功能。,113基本護理學
關於脈搏測量的敘述，下列何者錯誤？,A.以觸診法測量脈博時，應用食、中及無名指測量，不可用拇指 B.心房撲動病人可由二位護理師同時一位測心尖脈、一位測橈動脈 C.測量時間皆以30秒×2來計算 D.年老或肥胖病人脈搏不顯著，可使用聽診取代觸診,單選,C. 測量時間皆以30秒×2來計算,2,【解答】C 【出處】生命徵象 【解析】(C)並非所有病人皆以30秒x2來計算，若 為服用毛地黃、心臟血管疾病、肺/腎疾病病人店 邊脈搏不規則，應確實測量心尖脈一分鐘。,113基本護理學
關於測量血壓的注意事項，下列敘述何者正確？,A.將欲測量之手臂支托，使手臂與心臟同高 B.為確認數值正確性，無須間隔可重複充氣 C.正常情況下，慣用手血壓較非慣用手低 D.一般上肢血壓比下肢血壓高,單選,A. 將欲測量之手臂支托，使手臂與心臟同高,2,【解答】A 【出處】生命徵象 【解析】 (B)重複測量時，需放鬆壓脈帶暫停1～2分鐘再重 新測量。 (C)一般慣用手血壓較非慣用手高，通常右手臂較 左手臂高。 (D)一般下肢血壓比上肢血壓高,113基本護理學
調節呼吸的重要化學物質，不包括下列那一項？,A.二氧化碳 B.碳酸根離子 C.氫離子 D.一氧化氮,單選,D. 一氧化氮,2,【解答】D 【出處】生解觀念題 【解析】呼吸除了受呼吸中樞調控外，也受血液 成分影響，動脈血液中氧(O2）、二氧化碳(CO2)、 氫離子(H+)的濃度會刺激化學接受的感應變化， 調節呼吸速率及深度。 血液中運送二氧化碳有三種形式，其中佔最大比 例的方式為透過碳酸氫根離子（HCO3-）。,113基本護理學
下列何種徵象顯示成人鼻胃管插入的位置錯誤？,A.鼻胃管固定的標記顯示為70公分 B.鼻胃管反抽，抽出100 c.c.未消化的食物 C.灌食空針打入30 c.c.空氣，胃部聽診時有空氣進入胃的咕嚕聲音 D.將鼻胃管末端放入水中，無連續性氣泡,單選,A. 鼻胃管固定的標記顯示為70公分,2,【解答】A 【出處】營養的需要 【解析】 味及芽 (A)鼻胃管固定的標記顯示為45~55公分。,113基本護理學
有關營養素的敘述，下列何者正確？,A.非水溶性纖維可以延緩糖分的吸收 B.多醣類膳食纖維會抑制腸道蠕動 C.非必需胺基酸是指人體無法自行合成 D.必需胺基酸必須由食物攝取,單選,D. 必需胺基酸必須由食物攝取,2,【解答】D 【出處】營養的需要 【解析】 (A)水溶性纖維可以延緩糖分的吸收。 (B)多醣類膳食纖維可刺激腸道蠕動。 (C)非必需胺基酸是指人體可以自行合成,113基本護理學
病人接受靜脈營養，預備轉換為腸道營養的第一階段飲食，下列何者最適當？,A.軟質飲食（soft diet） B.高纖飲食（high fiber diet） C.清流質飲食（clear liquid diet） D.低油飲食（low oil diet）,單選,C. 清流質飲食（clear liquid diet）,2,【解答】C 【出處】營養的需要 【解析】清流質飲食適用於靜脈營養轉成腸道堂 養的過渡期。,113基本護理學
病人走路滑倒導致右手臂骨折，護理師使用三角巾為病人執行托懸臂包紮法，下列何者為正確的方式？ ① 協助病人右手肘關節彎曲小於90度，手掌朝上，手腕高於肘部　②協助病人右手肘關節彎曲大於90度，手腕 不可下垂　③協助病人右手肘關節彎曲維持90度，手腕自然下垂　④三角巾底角最後於病人右側肩上打上平 結　⑤三角巾底角最後於病人左側肩上打上平結,A.①④ B.②④ C.③⑤ D.②⑤,單選,A. ①④,2,【解答】A 【出處】繃帶與束帶 【解析】 ②③協助病人右手肘關節彎曲小於90度，手腕 不可下垂。 ⑤三角巾底角最後於病人右側肩上打上平結,113基本護理學
病人因車禍骨折，目前右手上石膏固定，為了避免病人的右手肌肉萎縮，應教導病人的患肢做何種運動？,A.被動全關節運動 B.等長運動 C.漸進式加阻力運動 D.等張運動,單選,B. 等長運動,2,【解答】B 【出處】活動與運動 【解析】(B)等長運動為肌肉收縮，但關節角度及 肌肉長度不變的主動運動。可用於石膏固定的肢 體，可防止石膏拆除後所產生的肌肉萎縮,113基本護理學
有關遺體護理的敘述，下列何者最不適當？,A.需協助鼻胃管留置病人反抽胃內容物後，再移除管路 B.協助遺體口腔護理後，並幫助閉合 C.拔除留置導尿管前，宜先抽出水囊內蒸餾水再移除 D.協助採仰臥並移除頭部枕頭，避免頭頸屈曲,單選,D. 協助採仰臥並移除頭部枕頭，避免頭頸屈曲,2,【解答】D 【出處】臨終護理 【解析】 (D)協助採仰臥，並在頭肩部放置枕頭墊高。,113基本護理學
護理師衛教病人收集24小時尿液檢體，下列敘述何者正確？,A.於7 AM請病人解尿，此次尿液不要，之後開始收集每次解的尿液到次日7 AM B.收集尿液期間如果有遺漏收集，則需持續收集到遺漏之時間點 C.隔日7 AM請病人解最後一次尿液，丟棄不收集 D.將24小時收集到尿液，栓緊容器瓶蓋，連同檢驗單儘速送檢,單選,A. 於7 AM請病人解尿，此次尿液不要，之後開始收集每次解的尿液到次日7 AM,2,【解答】A 【出處】出入院護理 【解析】 (B)收集尿液期間如有遺漏，則隔日需重新收集。 (C)隔日7AM最後一次尿液，要收集。 (D)將24小時的尿液均勻搖晃，倒出約10c.c.至 尿液檢體收集瓶，連同檢驗單儘速送檢,113基本護理學
有關衛生福利部2012年公告的「腦死判定準則」，下列先決條件的敘述何者正確？,A.病人昏迷指數為5或小於5之深度昏迷 B.體溫低於攝氏35度所致之可逆性昏迷 C.具有無法復原的肺葉結構損傷 D.必須依賴氣切管路維持呼吸,單選,A. 病人昏迷指數為5或小於5之深度昏迷,2,【解答】A 【出處】基護(下）第16章 臨終護理 第122頁 【解析】(B)排除可逆性昏迷 (C)具有無法復原的腦部結構損壞 (D)必須依賴人工呼吸器維持呼吸,113基本護理學
下列何者為臨終病人的瀕死症狀？①脈搏出現奇異脈（paradoxical pulse）　②張口呼吸　③肛門括約肌 收縮　④吞嚥困難,A.①② B.①④ C.②③ D.②④,單選,D. ②④,2,【解答】D 【出處】臨終護理 【解析】①脈搏出現絲脈 ③肛門括約肌鬆弛,113基本護理學
有關目標管理，下列敘述何者正確？,A.個人目標與組織目標之設定應各自獨立及達成 B.主管僅做決策，其餘則授權由員工獨立去完成 C.設定目標時，對達成時間的限制應該保持彈性 D.主管須定期評值目標進度，並將結果回饋員工,單選,D. 主管須定期評值目標進度，並將結果回饋員工,2,【解答】D 【出處】規劃與決策 【解析】 (A)錯，目標管理的目標是個人也是組織『共同』 設定的目標。 (B)錯，目標管理是「全員參與』大家須一起共同 執行完成。 (C)錯，設定目標時，對達成時間有限制，固定 時限。,113基本護理學
住宿型長照機構，每位住民每月收費3萬2千元，毛利率六成，每月固定支出70萬元，為達損益平衡點，平均 每月至少應收幾位住民？,A.30人 B.32人 C.35人 D.37人,單選,D. 37人,2,【解答】D 【出處】緒論與管理理論 【解析】 32000 x 0.6 =19200（成本） 700000/19200=36.4人，故(D)正確。,113基本護理學
顧力克（Luther Gulick）以POSDCoRB七個縮寫字說明行政的內涵，請問下列敘述何者正確？,A.R代表Reporting B.P代表Process C.O代表Output D.D代表Development,單選,A. R代表Reporting,2,【解答】A 【出處】緒論與管理理論 【解析】(B)錯，P為 Planning 計畫 (C)錯，O 為 Organizing 組織 (D)錯，D 為 Directing 指揮、督導,113基本護理學
護理長舉辦護理師最佳服務票選活動，獲最高票者的名字與相片會張貼於佈告欄以資鼓勵。依馬斯洛需要層 級理論，此活動最可以滿足下列何種需求？,A.生理 B.愛與歸屬 C.安全感 D.自尊,單選,D. 自尊,2,【解答】D 【出處】緒論與管理理論 盛五 【解析】獲最高票者的名字與相片會張貼於佈告 欄以資鼓勵一公開表揚一滿足其自尊心。,113基本護理學
醫院擬新建醫療大樓，現有病房需進行科別變更或縮減床位，護理主任為因應改變，下列何者應優先執行？,A.擬定護理師轉換科別後所需的教育訓練 B.收集資料、分析及確立可能出現的問題 C.依現有人員數，調整護理人員配置計畫 D.建立各病房轉換科別後之單位管理目標,單選,B. 收集資料、分析及確立可能出現的問題,2,【解答】B 【出處】規劃與決策。 【解析】決策過程的第一步驟一發現問題與界定 問題，故(B)正確。,113基本護理學
績效考評時，將所有人員的考評成績進行分數排列比較，屬於下列何種考核標準？,A.相對標準 B.客觀標準 C.絕對標準 D.主觀標準,單選,A. 相對標準,2,【解答】A 【出處】控制與考核 【解析】將所有人員的考評成績進行分數排列比 較一相互比較法、人員比較法一相對標準。 故(A)正確。,113基本護理學
下列那些臨床專業能力訓練課程，屬於N2進階N3層級的訓練重點？①重症病人護理　②危機處理　③教學原 理與方法　④護理與法律,A.①② B.②③ C.③④ D.①④,單選,B. ②③,2,【解答】B 【出處】人力資源管理 【解析】①重症病人護理、 ④護理與法律一N2 進階。 ②危機處理、 ③教學原理與方法一N3 進階。 故(B)正確。,113基本護理學
下列何種組織結構最適合規模小且複雜性低的護理之家？,A.專案式結構 B.矩陣式結構 C.簡單式結構 D.科層式結構,單選,C. 簡單式結構,2,【解答】C 【出處】組織與溝通 【解析】規模小且複雜性低一扁平結構一簡單式結構。,113基本護理學
能提供病人連續性、協調性、整體性及個別性的照護，亦能增加護理人員的責任感及自主性。屬於下列何種 護理照護模式？,A.技術混合照護模式（skill-mixed nursing care model） B.功能性護理模式（functional nursing care model） C.全責護理模式（primary nursing care model） D.成組護理模式（team nursing care model）,單選,C. 全責護理模式（primary nursing care model）,2,【解答】C 【出處】人力資源管理 【解析】提供病人連續性、協調性、整體性及個 別性的照護一全責護理模式。,113基本護理學
某內科病房有40床，占床率為70%，共有12名護理人員，採三班制，該年度實際上班天數為261天，該病房該 年度每位病人每天的護理時數為多少？,A.3.86 B.2.54 C.2.45 D.1.96,單選,C. 2.45,2,【解答】C 【出處】人力資源管理 【解析】護理時數一 12 人x261天x8h/40床 ×0.7x365天= 2.45。 故(C)正確。,113基本護理學
依據我國傳染病防治法第3條規定之傳染病分類，結核病屬於第幾類傳染病？,A.第一類傳染病 B.第二類傳染病 C.第三類傳染病 D.第四類傳染病,單選,C. 第三類傳染病,2,【解答】C 【出處】傳染病防治法 【解析】結核病一屬於第三類傳染病，故(C)正確,113基本護理學
根據 Donabedian（1966）醫療品質評估之概念架構，下列何者是醫院「過程面」的評估指標？①護理紀錄 完整性　②手術前預防性給與抗生素比率　③可執行細胞治療之醫師比率　④病人死亡率,A.①② B.②③ C.①④ D.③④,單選,A. ①②,2,【解答】A 【出處】護理品質管理 【解析】 ③可執行細胞治療之醫師比率一結構面。 ④病人死亡率一結果面。 ①護理紀錄完整性、 ②手術前預防性給與抗生素比率一結構面； 故(A）正確。,113基本護理學
林護理師於病房工作1.5年，對病人整體性照護在指導下可完成，剛晉升為N1層級。護理長對於林護理師的 領導，適合採用赫爾賽（Hersey） 與布朗查德（Blanchard）之情境領導理論（situational leadership theory）中的何種領導型態？,A.告知型（telling） B.推銷型（selling） C.參與型（participating） D.授權型（delegating）,單選,B. 推銷型（selling）,2,【解答】B 【出處】領導與統御 【解析】 (A)錯，告知型適和新進人員之領導。 (B)正確，林護理師於病房工作1.5 年，對病人整 體性照護在指導下可完成，適合用推銷型領導 她。 (C)錯，參與型適合 N3 層級之領導。 (D)錯，授權型適合 N4 層級之領導。,113基本護理學
有關發生護理業務糾紛時的處置，下列敘述何者最適當？,A.請當事人誠懇冷靜面對病人及家屬 B.理智處理、分析及了解事件的始末 C.尋求法律途徑，釐清業務糾紛責任 D.安排諮商輔導人員舉辦員工教育訓練,單選,B. 理智處理、分析及了解事件的始末,2,【解答】B 【出處】領導與統御 【解析】發生護理業務糾紛時的處置→先分析問題為什麼為發生？ 故(B)正確。,113基本護理學
有關護理成本控制的方法，下列敘述何者錯誤？,A.護理作業資訊化 B.減少護理人員數 C.降低衛材庫存量 D.正確計價防漏帳,單選,B. 減少護理人員數,2,【解答】B 【出處】控制與考核 【解析】  (A)(C)(D)，皆可以控制成本，降低成本。 (B)錯，減少護理人員數會使護理照顧品質下降， 不是控制成本的方式。,113基本護理學
有關多發性硬化症之診斷檢查，下列何者錯誤？,A.腦脊髓液分析可發現IgG抗體上升 B.視覺誘發電位可觀察到受損的神經在傳導過程出現延遲和中斷 C.超音波檢查可發現中樞神經系統髓鞘脫失 D.核磁共振影像可用來確認多發性硬化症之斑塊,單選,C. 超音波檢查可發現中樞神經系統髓鞘脫失,2,【解答】C 【出處】神經系統 【解析】超音波檢查看不出來,113內外科
下列何者不是腦幹中風的常見之表徵？,A.眼球活動不協調 B.運動功能障礙 C.手顫抖 D.嘔吐反射減弱,單選,C. 手顫抖,2,【解答】C 【出處】神經系統 【解析】手顫抖比較像是小腦或基底核（巴金森 氏症）的問題,113內外科
有關頭部外傷病人顱內壓升高的處置，下列何者錯誤？,A.急性期可裝置顱內壓監測器，依醫囑引流腦脊髓液降低顱內壓 B.病人的格拉斯哥昏迷量表（GCS）總分為5分，表示病人處於昏迷狀態 C.使用Mannitol 降腦壓時，使用前後要注意血糖的變化 D.若病人的瞳孔突然放大、對光沒有反應或是固定、肌力及意識下降，有可能是顱內壓升高,單選,C. 使用Mannitol 降腦壓時，使用前後要注意血糖的變化,2,【解答】C 【出處】神經系統 【解析】使用 Mannitol 降腦壓時，使用前後要注 意血壓的變化,113內外科
有關阿茲海默氏症之敘述，下列何者錯誤？,A.是一慢性、進展性、退化性腦部疾病 B.可能病因為年紀、基因遺傳 C.典型的症狀為長期記憶喪失 D.腦部典型變化為神經纖維糾結與老年性斑塊,單選,C. 典型的症狀為長期記憶喪失,2,【解答】C 【出處】神經系統 【解析】短期記憶喪失,113內外科
有關癲癇藥物Dilantin的敘述，下列何者正確？,A.靜脈輸注時須採用5%葡萄糖稀釋 B.口服常見的副作用為血液惡病質、心律不整等 C.指導病人須維持良好的口腔衛生，使用軟毛牙刷按摩牙齦 D.應維持血清治療濃度於80～100 mcg/dL,單選,C. 指導病人須維持良好的口腔衛生，使用軟毛牙刷按摩牙齦,2,【解答】C 【出處】神經系統 【解析】 (A)靜脈輸注時須採用生理食鹽水稀釋 (B)口服常見的副作用為齒齦增生 (D)應維持血清治療濃度於 10~20 ug/dL,113內外科
陳先生因肝硬化、嚴重腹水，出現呼吸急促、意識混亂的情形，由家人送往醫院接受治療，於實驗室檢查 中，可能出現下列何種結果？①ALT：80 U/L、AST：55 U/L　②albumin 4.0 gm/dL　③prothrombin time 5 sec　④ammonia 120 mg/dL,A.①② B.①④ C.②③ D.③④,單選,B. ①④,2,【解答】B 【出處】消化系統 【解析】白蛋白會減少、PT 會延長,113內外科
承上題，關於陳先生的護理措施，下列何者正確？①限制水分與蛋白質的攝取　②每天測量體重與腹圍，記 錄輸出入量　③給與利尿劑後，儘快補充Albumin　④使用Lactulose以減少細菌分解蛋白質所產生大量氨,A.①② B.①④ C.②③ D.③④,單選,A. ①②,2,【解答】A 【出處】消化系統 【解析】肝硬化因為腹水，需限水、測量體重、 記 TO；因為氨昏迷，須限制蛋白質攝取先給予 Albumin 再給利尿劑,113內外科
有關不同部位腸造瘻特性之敘述，下列何者正確？,A.升結腸造瘻的排便沒有規則性 B.迴腸造瘻的大便性狀是半成形狀 C.乙狀結腸造瘻的液體需要量需增加 D.橫結腸造瘻不需要使用人工造口袋,單選,A. 升結腸造瘻的排便沒有規則性,2,【解答】A 【出處】消化系統 【解析】 (B)迴腸造瘻的大便性狀是流質 (C)乙狀結腸造瘻的液體不需要量需增加 (D)橫結腸造瘻需要使用人工造口袋,113內外科
有關膽道疾病的敘述，下列何者錯誤？,A.膽囊炎大部分是結石造成 B.膽道結石男性比女性發生機率高 C.可用meperidine HCL（Demerol®）肌肉注射止痛 D.急性膽囊炎病人會出現右上腹部疼痛,單選,B. 膽道結石男性比女性發生機率高,2,【解答】B 【出處】消化条統公公 【解析】好發於「4F」分別是 Fat 、Forty 、Fertile 和 Female 女性,113內外科
有關預防傾倒症候群（dumping syndrome）的飲食建議，下列何者不適宜？,A.高醣食物 B.適量脂肪 C.高蛋白飲食 D.乾性食物,單選,A. 高醣食物,2,【解答】A 【出處】消化系統 【解析】低醣飲食,113內外科
有關骨折癒合階段照護之敘述，下列何者正確？,A.血腫形成期，應鼓勵病人進行患肢等張運動 B.細胞增生期，應鼓勵病人進行患肢等張運動 C.骨痂形成期，應鼓勵病人補充足夠的營養 D.鞏固化與再塑造期，告知病人骨折癒合不需再運動,單選,C. 骨痂形成期，應鼓勵病人補充足夠的營養,2,【解答】C 【出處】 骨骼系統 【解析】患肢採等長運動,113內外科
有關關節炎的敘述，下列何者正確？,A.骨性關節炎典型的疼痛在活動後加劇，休息後緩減 B.類風濕性關節炎晨間關節僵硬會在不活動後又出現 C.骨性關節炎是慢性、全身性、炎症性關節病變 D.骨性關節炎最先侵犯周邊小關節，包括指、腕、肘、踝、趾,單選,A. 骨性關節炎典型的疼痛在活動後加劇，休息後緩減,2,【解答】A 【出處】骨骼系統 【解析】(B)類風濕性關節炎晨間關節僵硬最明顯 (C)骨性關節炎是屬於退化、非症性關節病變 (D)骨性關節炎最先侵犯負重關節，ex 膝,113內外科
有關下背痛病人使用骨盆牽引治療之敘述，下列何者正確？,A.骨盆牽引是一種骨骼牽引，有助於緩解疼痛 B.牽引時床尾抬高可增加牽引的效果 C.保持臥於床之正中位置，膝、第二腳趾與滑輪在一直線位置 D.牽引使用之拉力可達體重的1/2,單選,B. 牽引時床尾抬高可增加牽引的效果,2,【解答】B 【出處】骨骼系統 四成方 【解析】 (A)骨盆牽引是一種皮膚牽引，有助於緩解疼痛 (C)保持臥於床之正中位置，膝、第二腳趾與滑輪 在一直線位置一是指勃克氏牽引 (D)牽引使用之拉力<體重的 1/3,113內外科
下列何者為白內障最有效的治療方式？,A.手術置換水晶體 B.點散瞳劑 C.眼睛熱敷 D.配戴老花眼鏡,單選,A. 手術置換水晶體,2,【解答】A 【出處】眼耳鼻 【解析】 手術置換水晶體為白內障最有效的治療方式,113內外科
有關鼻竇炎病人的護理指導，下列何者錯誤？,A.鼻竇炎是因鼻竇內黏膜發炎所造成 B.慢性鼻竇炎症狀消退後，即可停用抗生素 C.使用鼻滴劑時，可採用坐姿，頭向後仰 D.使用鼻滴劑時，避免過量，以防引起反彈效果,單選,B. 慢性鼻竇炎症狀消退後，即可停用抗生素,2,【解答】B 【出處】眼耳鼻 【解析】不可自行停抗生素以免產生抗藥性,113內外科
有關心肌炎病人的護理指導，下列何者不適宜？,A.教導阻力運動，提升活動耐力 B.教導服用類固醇藥物，需觀察大便顏色 C.教導減少水分攝取，減少心臟前負荷 D.教導服用毛地黃，需監測脈搏,單選,A. 教導阻力運動，提升活動耐力,2,【解答】A 【出處】心臟系統 【解析】急性期應臥床休息減少心肌耗氧量,113內外科
